"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-03-31 ~ 2026-03-30"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 60㎡초과~85㎡이하"
"금액선택 : 95000 ~ 115000 만원"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"43","경기도 수원시 영통구 이의동","1200","1200","0000","광교2차e편한세상","84.9175","202603","17","101,000","-","13","개인","개인","2011","웰빙타운로 50","-","중개거래","경기 수원시 영통구","-"
"44","경기도 안양시 만안구 안양동","1393","1393","0000","래미안안양메가트리아","84.7000","202603","17","103,700","-","8","개인","개인","2016","안양천서로 177","-","중개거래","경기 안양시 만안구","-"
"45","경기도 용인시 수지구 풍덕천동","699","0699","0000","한국","84.3600","202603","17","110,000","-","12","개인","개인","1995","정평로 116","-","중개거래","경기 용인시 수지구","-"
"46","경기도 수원시 영통구 망포동","790","0790","0000","영통아이파크캐슬3단지","84.7300","202603","16","96,500","-","4","개인","개인","2022","망포로84번길 10","-","중개거래","경기 수원시 영통구","-"
"47","경기도 하남시 풍산동","477","0477","0000","미사강변동원로얄듀크","84.3852","202603","16","105,000","-","9","개인","개인","2016","미사강변서로 45","-","중개거래","경기 하남시","-"
"48","경기도 용인시 기흥구 구갈동","660","0660","0000","힐스테이트기흥","84.5327","202603","15","108,000","-","26","개인","개인","2018","기흥역로 63","-","중개거래","경기 용인시 기흥구, 경기 용인시 처인구","-"
"49","경기도 고양시 덕양구 지축동","904","0904","0000","지축역센트럴푸르지오","84.9621","202603","15","103,250","-","21","개인","개인","2019","지축로 55","-","중개거래","경기 고양시 덕양구","-"
"50","경기도 용인시 기흥구 구갈동","661","0661","0000","기흥역더샵","84.9810","202603","15","95,400","-","35","개인","개인","2018","기흥역로58번길 78","-","중개거래","경기 용인시 기흥구","-"
"51","경기도 남양주시 다산동","6024","6024","0000","다산한양수자인리버팰리스","84.6174","202603","14","97,000","-","9","개인","개인","2017","다산순환로 171","-","중개거래","경기 남양주시","-"
"52","경기도 수원시 영통구 원천동","628","0628","0000","영흥숲푸르지오파크비엔","84.9957","202603","14","96,400","-","25","개인","개인","2023","영흥숲길 50","-","중개거래","경기 수원시 영통구","-"
"53","경기도 남양주시 다산동","6092","6092","0000","힐스테이트다산","84.5649","202603","14","100,000","-","26","개인","개인","2018","다산순환로 365","-","중개거래","경기 남양주시","-"
"54","경기도 화성시 동탄구 청계동","525","0525","0000","동탄역시범호반써밋","84.9537","202603","14","109,800","-","2","개인","개인","2015"," 122","-","중개거래","경기 화성시 동탄구","-"
"55","경기도 남양주시 별내동","999","0999","0000","별내자이더스타","84.5614","202603","14","106,500","-","13","개인","개인","2023","별내1로 13-21","-","중개거래","경기 남양주시","-"
"56","경기도 안양시 동안구 관양동","1586-5","1586","0005","한가람(삼성)","84.9300","202603","14","95,000","-","15","개인","개인","1995","학의로 146","-","중개거래","경기 안양시 동안구","-"
"57","경기도 화성시 동탄구 영천동","662","0662","0000","동탄역센트럴상록아파트","72.3500","202603","14","99,000","-","16","개인","개인","2017"," 9","-","중개거래","경기 화성시 동탄구","-"
"58","경기도 고양시 덕양구 지축동","904","0904","0000","지축역센트럴푸르지오","84.9621","202603","14","102,000","102동","8","개인","개인","2019","지축로 55","-","중개거래","경기 고양시 덕양구","26.03.25"
"59","경기도 부천시 소사구 괴안동","268","0268","0000","이편한세상온수역","84.9890","202603","14","100,700","-","27","개인","개인","2020","경인로 605","-","중개거래","경기 부천시 소사구","-"
"60","경기도 부천시 소사구 괴안동","268","0268","0000","이편한세상온수역","84.9890","202603","14","95,000","-","14","개인","개인","2020","경인로 605","-","중개거래","경기 부천시 소사구","-"
"61","경기도 남양주시 다산동","6133","6133","0000","다산 이편한세상자이","84.8800","202603","14","100,000","-","8","개인","개인","2018","다산중앙로81번길 25","-","중개거래","경기 남양주시","-"
"62","경기도 남양주시 다산동","6133","6133","0000","다산 이편한세상자이","84.8800","202603","14","100,000","-","22","개인","개인","2018","다산중앙로81번길 25","-","중개거래","경기 남양주시, 경기 성남시 분당구","-"
"63","경기도 안양시 동안구 비산동","1104","1104","0000","은하수청구","84.6000","202603","14","104,000","-","8","개인","개인","1992","시민대로159번길 59","-","중개거래","경기 안양시 동안구","-"
"64","경기도 안양시 동안구 비산동","1103","1103","0000","은하수벽산","84.9000","202603","14","102,500","-","4","개인","개인","1992","시민대로159번길 62","-","중개거래","경기 안양시 동안구","-"
"65","경기도 화성시 동탄구 산척동","718","0718","0000","동탄 더 레이크 팰리스","84.5200","202603","14","96,500","-","19","개인","개인","2018"," 35","-","중개거래","경기 화성시 동탄구","-"
"66","경기도 화성시 동탄구 청계동","525","0525","0000","동탄역시범호반써밋","84.9909","202603","14","105,800","-","5","개인","개인","2015"," 122","-","중개거래","경기 화성시 동탄구","-"
"67","경기도 화성시 동탄구 청계동","533","0533","0000","동탄역시범반도유보라아이비파크1.0","84.9885","202603","14","98,000","-","2","개인","개인","2015"," 168","-","중개거래","경기 화성시 동탄구","-"
"68","경기도 하남시 망월동","904","0904","0000","미사강변한신휴플러스","84.9600","202603","14","104,500","-","4","개인","개인","2015","미사강변한강로 170","-","중개거래","경기 하남시","-"
"69","경기도 화성시 동탄구 청계동","536","0536","0000","시범반도유보라아이비파크4.0","84.5690","202603","14","114,700","1502동","30","개인","개인","2018"," 134","-","중개거래","경기 화성시 동탄구","26.03.20"
"70","경기도 남양주시 다산동","6133","6133","0000","다산 이편한세상자이","84.8800","202603","13","96,900","-","5","개인","개인","2018","다산중앙로81번길 25","-","중개거래","경기 남양주시","-"
"71","경기도 안양시 만안구 안양동","1393","1393","0000","래미안안양메가트리아","84.7000","202603","13","105,000","-","7","개인","개인","2016","안양천서로 177","-","중개거래","경기 안양시 만안구","-"
"72","경기도 수원시 팔달구 매교동","300","0300","0000","매교역푸르지오SKVIEW","84.9700","202603","13","96,000","-","11","개인","개인","2023","인계로 20","-","중개거래","경기 수원시 팔달구","-"
"73","경기도 구리시 토평동","955","0955","0000","토평마을 e편한세상","84.5990","202603","13","103,500","-","12","개인","개인","2001","장자호수길 125","-","중개거래","경기 구리시","-"
"74","경기도 용인시 기흥구 보정동","878-18","0878","0018","성호샤인힐즈아파트","84.9830","202603","13","95,500","-","4","개인","개인","2005","이현로29번길 72-16","-","중개거래","경기 용인시 기흥구","-"
"75","경기도 용인시 수지구 동천동","862","0862","0000","동천마을현대홈타운2차","84.9750","202603","13","106,000","-","14","개인","개인","2002","동천로63번길 10","-","중개거래","경기 용인시 수지구","-"
"76","경기도 화성시 동탄구 영천동","665","0665","0000","동탄역센트럴자이(A-10)","84.8131","202603","12","104,500","-","2","개인","개인","2015"," 30","-","중개거래","경기 화성시 동탄구","-"
"77","경기도 광명시 철산동","241","0241","0000","주공13","73.0900","202603","12","110,000","-","12","개인","개인","1986","철산로 57","-","중개거래","서울 용산구","-"
"78","경기도 구리시 토평동","955","0955","0000","토평마을 e편한세상","84.5990","202603","12","114,000","-","5","개인","개인","2001","장자호수길 125","-","중개거래","경기 구리시","-"
"79","경기도 구리시 토평동","955","0955","0000","토평마을 e편한세상","84.5990","202603","12","114,000","-","16","개인","개인","2001","장자호수길 125","-","중개거래","경기 구리시, 경기 남양주시","-"
"80","경기도 하남시 신장동","602","0602","0000","하남유니온시티에일린의뜰","84.9900","202603","12","115,000","-","20","개인","개인","2017","하남유니온로 70","-","중개거래","경기 하남시","-"
"81","경기도 안양시 동안구 비산동","1185","1185","0000","평촌자이아이파크","84.9890","202603","12","109,800","-","16","개인","개인","2021","비산로 22","-","중개거래","경기 안양시 동안구","-"
"82","경기도 안양시 동안구 비산동","1185","1185","0000","평촌자이아이파크","84.9856","202603","12","100,000","-","17","개인","개인","2021","비산로 22","-","중개거래","경기 안양시 동안구","-"
"83","경기도 하남시 망월동","1170","1170","0000","미사강변효성해링턴플레이스엔에이치에프","74.9600","202603","12","101,800","2905동","11","개인","개인","2017","미사강변한강로 326","-","중개거래","경기 하남시, 서울 강동구","26.03.17"
"84","경기도 화성시 동탄구 청계동","525","0525","0000","동탄역시범호반써밋","84.9537","202603","12","111,500","-","6","개인","개인","2015"," 122","-","중개거래","경기 화성시 동탄구","-"
"85","경기도 남양주시 다산동","6215","6215","0000","다산 펜테리움 리버테라스 Ⅰ","84.9301","202603","12","95,000","-","19","개인","개인","2018","다산지금로145번길 15","-","중개거래","경기 남양주시, 서울 동대문구","-"
"86","경기도 남양주시 다산동","6092","6092","0000","힐스테이트다산","84.6913","202603","12","102,700","-","9","개인","개인","2018","다산순환로 365","-","중개거래","경기 남양주시","-"
"87","경기도 하남시 풍산동","559","0559","0000","미사강변브라운스톤엔에이치에프","84.9300","202603","12","114,700","-","18","개인","개인","2018","미사강변동로 47","-","중개거래","경기 성남시 수정구, 경기 하남시","-"
"88","경기도 고양시 덕양구 덕은동","596","0596","0000","DMC한강호반써밋","84.9773","202603","11","107,000","-","19","개인","개인","2022","대덕산로 31","-","중개거래","경기 고양시 덕양구","-"
"89","경기도 용인시 수지구 동천동","914","0914","0000","동천디이스트","84.9110","202603","11","107,500","-","3","개인","개인","2007","동천로 64","-","중개거래","경기 용인시 수지구","-"
"90","경기도 고양시 덕양구 지축동","904","0904","0000","지축역센트럴푸르지오","78.3947","202603","11","95,000","-","8","개인","개인","2019","지축로 55","-","중개거래","경기 고양시 덕양구","-"
"91","경기도 용인시 기흥구 구갈동","660","0660","0000","힐스테이트기흥","84.9545","202603","11","107,000","-","10","개인","개인","2018","기흥역로 63","-","중개거래","경기 용인시 기흥구","-"
"92","경기도 안양시 동안구 관양동","1586","1586","0000","한가람(한양)","84.9000","202603","11","95,000","-","16","개인","개인","1995","학의로 120","-","중개거래","경기 안양시 동안구","-"
"93","경기도 하남시 신장동","602","0602","0000","하남유니온시티에일린의뜰","84.9900","202603","11","114,000","-","22","개인","개인","2017","하남유니온로 70","-","중개거래","경기 하남시, 서울 서초구","-"
"94","경기도 하남시 망월동","904","0904","0000","미사강변한신휴플러스","84.9800","202603","10","109,500","-","6","개인","개인","2015","미사강변한강로 170","-","중개거래","경기 하남시","-"
"95","경기도 안양시 동안구 비산동","1103","1103","0000","은하수벽산","76.0500","202603","10","98,800","-","8","개인","개인","1992","시민대로159번길 62","-","중개거래","경기 안양시 동안구, 경기 안양시 만안구","-"
"96","경기도 남양주시 다산동","6133","6133","0000","다산 이편한세상자이","84.8800","202603","10","96,800","-","16","개인","개인","2018","다산중앙로81번길 25","-","중개거래","경기 남양주시","-"
"97","경기도 남양주시 다산동","6031","6031","0000","다산아이파크","84.9500","202603","10","97,500","-","12","개인","개인","2017","다산순환로 333","-","중개거래","경기 남양주시","-"
"98","경기도 용인시 수지구 상현동","860","0860","0000","서원마을3단지아이파크","84.9369","202603","10","101,500","-","18","개인","개인","2002","포은대로 219","-","중개거래","경기 용인시 수지구","-"
"99","경기도 안양시 동안구 호계동","1296","1296","0000","평촌어바인퍼스트","84.6000","202603","09","110,000","-","4","개인","개인","2021","경수대로 581","-","중개거래","경기 안양시 동안구","-"
"100","경기도 안양시 동안구 관양동","1396","1396","0000","현대","84.4700","202603","09","104,000","-","3","개인","개인","1985","관평로 333","-","중개거래","경기 안양시 동안구","-"
"101","경기도 화성시 동탄구 영천동","788","0788","0000","동탄역푸르지오","84.9349","202603","09","95,000","-","19","개인","개인","2017"," 881-10","-","중개거래","경기 화성시 동탄구","-"
"102","경기도 안산시 단원구 고잔동","782","0782","0000","안산레이크타운푸르지오","84.6732","202603","09","107,000","-","33","개인","개인","2016","광덕동로 25","-","중개거래","경기 안산시 단원구","-"
"103","경기도 용인시 기흥구 보정동","1271","1271","0000","죽현마을동원로얄듀크","84.6038","202603","08","110,300","-","5","개인","개인","2006","죽현로 12","-","중개거래","경기 용인시 기흥구","-"
"104","경기도 화성시 동탄구 산척동","718","0718","0000","동탄 더 레이크 팰리스","84.5200","202603","07","103,800","-","23","개인","개인","2018"," 35","-","중개거래","경기 화성시 동탄구","-"
"105","경기도 군포시 금정동","916","0916","0000","힐스테이트금정역","73.5713","202603","07","101,000","-","26","개인","개인","2022","엘에스로 143","-","중개거래","경기 군포시","-"
"106","경기도 남양주시 다산동","6092","6092","0000","힐스테이트다산","84.6913","202603","07","98,500","-","15","개인","개인","2018","다산순환로 365","-","중개거래","경기 남양주시","-"
"107","경기도 남양주시 다산동","6235","6235","0000","다산펜테리움리버테라스Ⅱ","84.9527","202603","07","99,000","-","10","개인","개인","2019","다산지금로146번길 117","-","중개거래","경기 남양주시, 서울 중랑구","-"
"108","경기도 용인시 수지구 동천동","859","0859","0000","동천마을현대홈타운1차","84.9660","202603","07","107,000","-","18","개인","개인","2002","수지로 487","-","중개거래","경기 용인시 수지구","-"
"109","경기도 용인시 수지구 동천동","938","0938","0000","래미안이스트팰리스2단지","84.9900","202603","07","115,000","-","3","개인","개인","2010","동천로113번길 10","-","중개거래","경기 용인시 수지구","-"
"110","경기도 화성시 동탄구 청계동","525","0525","0000","동탄역시범호반써밋","84.9537","202603","07","112,900","-","13","개인","개인","2015"," 122","-","중개거래","경기 화성시 동탄구","-"
"111","경기도 화성시 동탄구 청계동","513","0513","0000","동탄역시범리슈빌아파트","84.8700","202603","07","108,000","-","1","개인","개인","2015"," 236","-","중개거래","경기 화성시 동탄구","-"
"112","경기도 광명시 철산동","449","0449","0000","주공12","61.3800","202603","07","112,000","-","12","개인","개인","1986","디지털로 63","-","중개거래","경기 광명시","-"
"113","경기도 안산시 단원구 고잔동","782","0782","0000","안산레이크타운푸르지오","84.8211","202603","07","99,700","-","9","개인","개인","2016","광덕동로 25","-","중개거래","경기 안산시 단원구","-"
"114","경기도 화성시 동탄구 청계동","525","0525","0000","동탄역시범호반써밋","84.9909","202603","07","104,500","-","24","개인","개인","2015"," 122","-","중개거래","경기 화성시 동탄구","-"
"115","경기도 용인시 기흥구 구갈동","660","0660","0000","힐스테이트기흥","84.5327","202603","07","96,000","-","16","개인","개인","2018","기흥역로 63","-","중개거래","경기 용인시 기흥구","-"
"116","경기도 화성시 동탄구 여울동","978","0978","0000","동탄역유림노르웨이숲","71.6544","202603","07","114,000","-","19","개인","개인","2021"," 143","-","중개거래","경기 수원시 장안구, 경기 화성시 동탄구","-"
"117","경기도 화성시 동탄구 여울동","988","0988","0000","동탄역 반도유보라 아이비파크5.0","74.3629","202603","07","97,000","-","17","개인","개인","2017"," 393-15","-","중개거래","경기 화성시 동탄구","-"
"118","경기도 하남시 망월동","946","0946","0000","미사강변 파크뷰","84.7700","202603","07","113,000","-","8","개인","개인","2015","미사강변동로 177","-","중개거래","경기 하남시","-"
"119","경기도 용인시 기흥구 마북동","526-3","0526","0003","연원마을엘지","84.9184","202603","07","114,000","-","13","개인","개인","1999","연원로 5","-","중개거래","경기 용인시 기흥구","-"
"120","경기도 고양시 덕양구 덕은동","679","0679","0000","DMC한강자이더헤리티지","84.9585","202603","07","115,000","-","11","개인","개인","2022","대덕산로 20","-","중개거래","경기 고양시 덕양구","-"
"121","경기도 성남시 수정구 고등동","601","0601","0000","판교밸리자이3단지","60.9892","202603","07","99,000","-","9","개인","개인","2023","대왕판교로 961","-","중개거래","경기 성남시 수정구","-"
"122","경기도 군포시 산본동","1240","1240","0000","래미안하이어스","84.9700","202603","07","101,500","-","19","개인","개인","2010","금산로 91","-","중개거래","경기 군포시","-"
"123","경기도 광명시 철산동","449","0449","0000","주공12","61.3800","202603","07","112,000","-","12","개인","개인","1986","디지털로 63","20260320","중개거래","경기 광명시","-"
"124","경기도 남양주시 다산동","6024","6024","0000","다산한양수자인리버팰리스","84.5655","202603","07","102,500","-","11","개인","개인","2017","다산순환로 171","-","중개거래","경기 남양주시","-"
"125","경기도 화성시 동탄구 영천동","670","0670","0000","동탄역센트럴예미지","84.9890","202603","07","97,500","-","6","개인","개인","2017"," 45","-","중개거래","경기 화성시 동탄구","-"
