"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-03-31 ~ 2026-03-30"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 60㎡초과~85㎡이하"
"금액선택 : 95000 ~ 115000 만원"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"85","서울특별시 성동구 송정동","90","0090","0000","건영","84.9450","202603","07","108,500","-","2","개인","개인","2000","동일로 263","-","중개거래","서울 성동구, 서울 용산구","-"
"86","서울특별시 성북구 장위동","317","0317","0000","꿈의숲대명루첸아파트","84.8430","202603","07","104,000","-","11","개인","개인","2008","월계로36길 27","-","중개거래","서울 성북구","-"
"87","서울특별시 성북구 석관동","10","0010","0000","두산","84.9000","202603","07","100,000","-","12","개인","개인","1998","화랑로48길 16","-","중개거래","서울 성북구","-"
"88","서울특별시 양천구 신월동","1055","1055","0000","신정두산위브","75.6300","202603","07","106,000","-","7","개인","개인","2012","신월로20길 7","-","중개거래","서울 양천구","-"
"89","서울특별시 성북구 돈암동","636","0636","0000","이수브라운스톤돈암","84.9700","202603","07","110,000","-","7","개인","개인","2004","북악산로 844","-","중개거래","서울 성북구","-"
"90","서울특별시 성북구 길음동","1278","1278","0000","길음동동부센트레빌(1278-0)","84.8440","202603","07","113,000","-","15","개인","개인","2003","숭인로2길 61","-","중개거래","서울 성북구","-"
"91","서울특별시 중랑구 묵동","396","0396","0000","이편한세상화랑대","84.9560","202603","07","103,000","-","1","개인","개인","2017","숙선옹주로 45","-","중개거래","서울 중랑구","-"
"92","서울특별시 동작구 상도동","408","0408","0000","상도동삼호아파트","84.5200","202603","07","114,000","-","3","개인","개인","1994","상도로 407","-","중개거래","서울 관악구, 서울 동작구","-"
"93","서울특별시 도봉구 창동","808","0808","0000","동아청솔","84.9700","202603","07","101,000","-","4","개인","개인","1997","노해로69길 103","-","중개거래","서울 도봉구","-"
"94","서울특별시 노원구 중계동","359-1","0359","0001","주공5","84.7900","202603","07","109,000","-","2","개인","개인","1992","중계로 230","-","중개거래","서울 노원구","-"
"95","서울특별시 양천구 신정동","1311","1311","0000","동일하이빌2단지","84.9550","202603","06","114,500","-","20","개인","개인","2005","신정로11길 20","-","중개거래","서울 양천구","-"
"96","서울특별시 노원구 월계동","18","0018","0000","한진한화그랑빌","84.9700","202603","06","109,500","-","21","개인","개인","2002","마들로 31","-","중개거래","서울 노원구","-"
"97","서울특별시 영등포구 문래동6가","47-1","0047","0001","대원","84.7800","202603","06","103,000","-","14","개인","개인","1998","문래로4길 26","-","중개거래","서울 마포구, 서울 영등포구","-"
"98","서울특별시 강서구 염창동","298","0298","0000","일신건영휴먼빌","84.9300","202603","06","110,000","-","6","개인","개인","2004","양천로71가길 22","-","중개거래","서울 강서구, 서울 양천구","-"
"99","서울특별시 동작구 상도동","408","0408","0000","상도동삼호아파트","84.5200","202603","06","109,000","-","1","개인","개인","1994","상도로 407","-","중개거래","서울 관악구, 서울 동작구","-"
"100","서울특별시 영등포구 문래동6가","46","0046","0000","현대1차","79.5200","202603","06","105,500","-","13","개인","개인","1986","문래로4길 14","-","중개거래","서울 영등포구","-"
"101","서울특별시 은평구 응암동","768","0768","0000","백련산해모로","74.9100","202603","06","96,500","-","5","개인","개인","2020","응암로30길 15","-","중개거래","서울 은평구","-"
"102","서울특별시 성북구 하월곡동","225","0225","0000","래미안월곡","84.5890","202603","05","110,000","-","18","개인","개인","2006","오패산로 90","-","중개거래","서울 성북구, 서울 용산구","-"
"103","서울특별시 노원구 하계동","251","0251","0000","하계1청구","84.6000","202603","05","95,000","-","10","개인","개인","1997","한글비석로 91","-","중개거래","서울 노원구","-"
"104","서울특별시 성북구 종암동","131","0131","0000","아이파크종암동2차","84.7300","202603","05","102,000","-","14","개인","개인","2005","종암로9길 71","-","중개거래","서울 성북구","-"
"105","서울특별시 중구 황학동","2545","2545","0000","롯데캐슬","84.8900","202603","05","110,000","-","10","개인","개인","2008","청계천로 400","-","중개거래","서울 중구","-"
"106","서울특별시 영등포구 양평동4가","51-1","0051","0001","경남아너스빌","70.9400","202603","05","109,000","-","10","개인","개인","2000","양평로17길 9","-","중개거래","서울 영등포구","-"
"107","서울특별시 양천구 신정동","1276","1276","0000","신트리3","84.2500","202603","05","109,000","-","4","개인","개인","2000","신정로 290","-","중개거래","서울 양천구","-"
"108","서울특별시 서대문구 연희동","740","0740","0000","성원","84.9500","202603","05","95,000","-","18","개인","개인","2001","연희로32길 48","-","중개거래","서울 서대문구","-"
"109","서울특별시 송파구 마천동","9","0009","0000","아남","82.1300","202603","05","100,000","-","9","개인","개인","1992","마천로35길 18","-","중개거래","서울 송파구","-"
"110","서울특별시 구로구 신도림동","637","0637","0000","우성3","84.7500","202603","05","115,000","-","10","개인","개인","1993","신도림로21길 25","-","중개거래","서울 구로구","-"
"111","서울특별시 구로구 개봉동","489","0489","0000","개봉동현대아이파크","84.9800","202603","05","96,000","-","7","개인","개인","2006","개봉로2길 133-15","-","중개거래","서울 구로구","-"
"112","서울특별시 동작구 사당동","1156","1156","0000","이너스내안애","84.9700","202603","04","104,500","-","4","개인","개인","2012","사당로13길 40","20260316","중개거래","서울 동작구","-"
"113","서울특별시 동작구 사당동","1156","1156","0000","이너스내안애","84.9700","202603","04","104,500","-","4","개인","개인","2012","사당로13길 40","-","중개거래","서울 동작구","-"
"114","서울특별시 구로구 신도림동","638","0638","0000","우성5","79.5600","202603","04","113,000","-","10","개인","개인","1994","신도림로21길 21","-","중개거래","서울 구로구","-"
"115","서울특별시 성북구 하월곡동","222","0222","0000","월곡두산위브","84.8430","202603","04","101,500","-","14","개인","개인","2003","오패산로 46","-","중개거래","서울 성북구","-"
"116","서울특별시 송파구 거여동","44","0044","0000","현대2차","82.9600","202603","04","113,000","-","12","개인","개인","1992","오금로61길 20","-","중개거래","서울 송파구","-"
"117","서울특별시 송파구 가락동","196","0196","0000","동궁리치웰(102동)","83.9000","202603","04","115,000","-","3","개인","개인","2005","오금로44길 47","-","중개거래","서울 송파구","-"
"118","서울특별시 강서구 염창동","303","0303","0000","강변코아루","84.7700","202603","04","114,500","-","8","개인","개인","2007","양천로71길 54","-","중개거래","서울 강서구","-"
"119","서울특별시 서대문구 북가좌동","431","0431","0000","DMC한양","84.3300","202603","04","96,500","-","11","개인","개인","1987","응암로 28","-","중개거래","서울 서대문구, 서울 송파구","-"
"120","서울특별시 동작구 사당동","1154","1154","0000","사당휴먼시아","84.9000","202603","04","110,000","-","2","개인","개인","2009","사당로16길 96","-","중개거래","서울 동작구","-"
"121","서울특별시 종로구 신교동","6-11","0006","0011","신현(102동)","84.8200","202603","03","95,000","-","3","개인","개인","2002","필운대로10길 18-8","-","중개거래","서울 서초구","-"
"122","서울특별시 강서구 가양동","1495","1495","0000","한보구암마을","84.3900","202603","03","100,000","-","9","개인","개인","1999","허준로 76","-","중개거래","서울 강서구","-"
"123","서울특별시 강서구 염창동","292","0292","0000","동아","84.9500","202603","03","114,500","-","4","개인","개인","1998","양천로69길 58","-","중개거래","서울 강서구","-"
"124","서울특별시 중구 황학동","2545","2545","0000","롯데캐슬","84.9000","202603","03","112,500","-","8","개인","개인","2008","청계천로 400","-","중개거래","서울 강북구, 서울 성동구","-"
"125","서울특별시 도봉구 창동","825","0825","0000","북한산아이파크5차","84.4516","202603","03","100,000","-","12","개인","개인","2004","도봉로136길 28","-","중개거래","서울 도봉구","-"
"126","서울특별시 도봉구 창동","27","0027","0000","주공19단지(창동리버타운)","84.9000","202603","03","97,500","-","10","개인","개인","1989","노해로70길 54","-","중개거래","서울 도봉구","-"
"127","서울특별시 강서구 염창동","298","0298","0000","일신건영휴먼빌","84.9300","202603","03","102,000","-","15","개인","개인","2004","양천로71가길 22","-","중개거래","서울 강서구","-"
"128","서울특별시 강서구 염창동","294","0294","0000","길훈","84.8000","202603","03","105,000","-","14","개인","개인","1999","양천로65길 45","-","중개거래","서울 강서구","-"
"129","서울특별시 양천구 신정동","1311","1311","0000","동일하이빌2단지","84.9550","202603","03","115,000","-","4","개인","개인","2005","신정로11길 20","-","중개거래","경기 광명시, 서울 양천구","-"
"130","서울특별시 강서구 내발산동","659-1","0659","0001","강서월드메르디앙","84.8945","202603","02","99,500","-","4","개인","개인","2006","공항대로42길 54-26","-","중개거래","서울 강서구","-"
"131","서울특별시 마포구 중동","391","0391","0000","중동계룡아파트","84.6000","202603","02","100,000","-","9","개인","개인","2000","월드컵북로38가길 20","-","중개거래","서울 마포구","-"
"132","서울특별시 관악구 봉천동","1706","1706","0000","봉천우성","84.9600","202603","02","108,000","-","20","개인","개인","2000","관악로30길 12","-","중개거래","서울 관악구","-"
"133","서울특별시 서대문구 홍은동","467","0467","0000","북한산두산위브","84.9800","202603","02","101,000","-","21","개인","개인","2020","홍은중앙로3길 9","-","중개거래","서울 서대문구","-"
"134","서울특별시 강서구 염창동","303","0303","0000","강변코아루","84.7700","202603","02","114,500","-","5","개인","개인","2007","양천로71길 54","-","중개거래","서울 강서구","-"
"135","서울특별시 서대문구 홍제동","453","0453","0000","청구1차","84.7800","202603","02","113,500","-","2","개인","개인","1994","통일로 348","-","중개거래","서울 서대문구","-"
"136","서울특별시 서대문구 홍제동","459","0459","0000","홍제원현대(459-0)","84.9000","202603","02","109,700","-","12","개인","개인","2000","통일로34길 43","-","중개거래","서울 서대문구","-"
"137","서울특별시 서대문구 홍제동","453","0453","0000","청구1차","84.7800","202603","02","113,000","-","3","개인","개인","1994","통일로 348","-","중개거래","서울 서대문구","-"
"138","서울특별시 동작구 사당동","1135","1135","0000","경남아너스빌2차","84.9600","202603","02","100,000","-","4","개인","개인","1998","사당로 165","-","중개거래","서울 동작구, 서울 서초구","-"
"139","서울특별시 도봉구 창동","808","0808","0000","동아청솔","84.9700","202603","01","109,000","-","16","개인","개인","1997","노해로69길 103","-","중개거래","서울 도봉구","-"
"140","서울특별시 강남구 도곡동","953-1","0953","0001","SK허브프리모","67.5700","202603","01","109,500","-","15","개인","개인","2006","강남대로 240","-","중개거래","서울 강남구","-"
